dose_id,kind,modality,reflectance_metric,reflectance_value,target_metric,target_value,window
dose_1,12Oclock,chrom,mean_std,0.0104281864387366,chrom_total_sd,0.2355476896867997,320_480nm
dose_1,6Oclock,chrom,mean_std,0.0702443178123991,chrom_total_sd,0.2355476896867997,320_480nm
dose_2,12Oclock,chrom,mean_std,0.0150648729180769,chrom_total_sd,0.1112386744897307,320_480nm
dose_2,6Oclock,chrom,mean_std,0.0494809751409251,chrom_total_sd,0.1112386744897307,320_480nm
dose_3,12Oclock,chrom,mean_std,0.0348211249859812,chrom_total_sd,0.1600769252777223,320_480nm
dose_3,6Oclock,chrom,mean_std,0.0395249947828854,chrom_total_sd,0.1600769252777223,320_480nm
dose_4,12Oclock,chrom,mean_std,0.0073779302838977,chrom_total_sd,0.0880909111971416,320_480nm
dose_4,6Oclock,chrom,mean_std,0.0213861404573135,chrom_total_sd,0.0880909111971416,320_480nm
dose_5,12Oclock,chrom,mean_std,0.0222079932397299,chrom_total_sd,0.1808943259505433,320_480nm
dose_5,6Oclock,chrom,mean_std,0.007646718577455,chrom_total_sd,0.1808943259505433,320_480nm
dose_6,12Oclock,chrom,mean_std,0.0181687297283958,chrom_total_sd,0.1110348780368987,320_480nm
dose_6,6Oclock,chrom,mean_std,0.0473286956214351,chrom_total_sd,0.1110348780368987,320_480nm
dose_1,Sigma,chrom,mean_std,0.0355134779001617,chrom_total_sd,0.2355476896867997,320_480nm
dose_1,Delta,chrom,mean_std,0.0710269558003234,chrom_total_sd,0.2355476896867997,320_480nm
dose_2,Sigma,chrom,mean_std,0.0259015640146523,chrom_total_sd,0.1112386744897307,320_480nm
dose_2,Delta,chrom,mean_std,0.0518031280293048,chrom_total_sd,0.1112386744897307,320_480nm
dose_3,Sigma,chrom,mean_std,0.0263828578542708,chrom_total_sd,0.1600769252777223,320_480nm
dose_3,Delta,chrom,mean_std,0.0527657157085417,chrom_total_sd,0.1600769252777223,320_480nm
dose_4,Sigma,chrom,mean_std,0.0113968636296004,chrom_total_sd,0.0880909111971416,320_480nm
dose_4,Delta,chrom,mean_std,0.0227937272592009,chrom_total_sd,0.0880909111971416,320_480nm
dose_5,Sigma,chrom,mean_std,0.0118382878210544,chrom_total_sd,0.1808943259505433,320_480nm
dose_5,Delta,chrom,mean_std,0.0236765756421089,chrom_total_sd,0.1808943259505433,320_480nm
dose_6,Sigma,chrom,mean_std,0.025562950194782,chrom_total_sd,0.1110348780368987,320_480nm
dose_6,Delta,chrom,mean_std,0.0511259003895641,chrom_total_sd,0.1110348780368987,320_480nm
dose_1,12Oclock,chrom,mean_mad,0.0090907860860645,,,320_480nm
dose_1,6Oclock,chrom,mean_mad,0.0513020005088728,,,320_480nm
dose_2,12Oclock,chrom,mean_mad,0.0207085204876471,,,320_480nm
dose_2,6Oclock,chrom,mean_mad,0.057010276805946,,,320_480nm
dose_3,12Oclock,chrom,mean_mad,0.0094246775654617,,,320_480nm
dose_3,6Oclock,chrom,mean_mad,0.039927192635811,,,320_480nm
dose_4,12Oclock,chrom,mean_mad,0.0109639679809968,,,320_480nm
dose_4,6Oclock,chrom,mean_mad,0.025055932293057,,,320_480nm
dose_5,12Oclock,chrom,mean_mad,0.030321411765253,,,320_480nm
dose_5,6Oclock,chrom,mean_mad,0.0104859412830566,,,320_480nm
dose_6,12Oclock,chrom,mean_mad,0.0064408222555742,,,320_480nm
dose_6,6Oclock,chrom,mean_mad,0.0282012036192082,,,320_480nm
dose_1,Sigma,chrom,mean_mad,0.0261479004866253,,,320_480nm
dose_1,Delta,chrom,mean_mad,0.0522958009732506,,,320_480nm
dose_2,Sigma,chrom,mean_mad,0.0304920095220059,,,320_480nm
dose_2,Delta,chrom,mean_mad,0.0609840190440118,,,320_480nm
dose_3,Sigma,chrom,mean_mad,0.0205677212670435,,,320_480nm
dose_3,Delta,chrom,mean_mad,0.041135442534087,,,320_480nm
dose_4,Sigma,chrom,mean_mad,0.0138118962419667,,,320_480nm
dose_4,Delta,chrom,mean_mad,0.0276237924839335,,,320_480nm
dose_5,Sigma,chrom,mean_mad,0.0161611193766782,,,320_480nm
dose_5,Delta,chrom,mean_mad,0.0323222387533565,,,320_480nm
dose_6,Sigma,chrom,mean_mad,0.014912126168431,,,320_480nm
dose_6,Delta,chrom,mean_mad,0.0298242523368622,,,320_480nm
dose_1,12Oclock,dad,mean_std,0.0104281864387366,dad_total_sd,0.6037973847005771,320_480nm
dose_1,6Oclock,dad,mean_std,0.0702443178123991,dad_total_sd,0.6037973847005771,320_480nm
dose_2,12Oclock,dad,mean_std,0.0150648729180769,dad_total_sd,0.1714636782556086,320_480nm
dose_2,6Oclock,dad,mean_std,0.0494809751409251,dad_total_sd,0.1714636782556086,320_480nm
dose_3,12Oclock,dad,mean_std,0.0348211249859812,dad_total_sd,0.1654304374989013,320_480nm
