window,kind,modality,pca_components_reflectance,pca_components_concentration,pca_components_used,pca_variance_reflectance,pca_variance_concentration,pca_variance_reflectance_used,pca_variance_concentration_used,procrustes_disparity,procrustes_permutation_exceedances,procrustes_permutation_p,rv_value,rv_permutation_exceedances,rv_permutation_p,pls_components,pls_covariance,pls_warning,permutations,random_seed,zero_variance_reflectance,zero_variance_concentration,shape_warning
320_480nm,Sigma,chrom,2,2,2,"[0.5594443056627559, 0.29320884002795966]","[0.7804067781825154, 0.21633870932167354]","[0.5594443056627559, 0.29320884002795966]","[0.7804067781825154, 0.21633870932167354]",0.4932935009232232,953,0.0953904609539046,1.1446011498283473,1444,0.1444855514448555,2,3.817703415028737,,10000,42,[],[],
320_480nm,Sigma,dad,2,2,2,"[0.5594443056627559, 0.29320884002795966]","[0.8918025003080094, 0.10736489695028076]","[0.5594443056627559, 0.29320884002795966]","[0.8918025003080094, 0.10736489695028076]",0.6721538868500201,2887,0.28877112288771123,0.8348252141532411,2664,0.26647335266473354,2,3.2716945934477617,,10000,42,[],[],
320_480nm,Sigma,latent,2,2,2,"[0.5594443056627559, 0.29320884002795966]","[0.8399910299774545, 0.15857780112133193]","[0.5594443056627559, 0.29320884002795966]","[0.8399910299774545, 0.15857780112133193]",0.5756599391230521,1641,0.16418358164183583,0.990688407070575,1932,0.1932806719328067,2,3.6699314714974816,,10000,42,[],[],
320_480nm,Delta,chrom,2,2,2,"[0.7376799328351327, 0.16299440295685594]","[0.7804067781825154, 0.21633870932167354]","[0.7376799328351327, 0.16299440295685594]","[0.7804067781825154, 0.21633870932167354]",0.7314190111726255,4408,0.44085591440855915,0.6959704977110209,2977,0.2977702229777022,2,3.781677083376667,,10000,42,[],[],
320_480nm,Delta,dad,2,2,2,"[0.7376799328351327, 0.16299440295685594]","[0.8918025003080094, 0.10736489695028076]","[0.7376799328351327, 0.16299440295685594]","[0.8918025003080094, 0.10736489695028076]",0.751432539071417,3955,0.3955604439556044,0.46454970329144085,3577,0.35776422357764226,2,3.4655362588904217,,10000,42,[],[],
320_480nm,Delta,latent,2,2,2,"[0.7376799328351327, 0.16299440295685594]","[0.8399910299774545, 0.15857780112133193]","[0.7376799328351327, 0.16299440295685594]","[0.8399910299774545, 0.15857780112133193]",0.7381213101521145,4191,0.41915808419158085,0.588736803781604,3192,0.31926807319268075,2,3.6428660011512033,,10000,42,[],[],
320_480nm,12Oclock,chrom,2,2,2,"[0.5299275892494969, 0.22073430480472925]","[0.7804067781825154, 0.21633870932167354]","[0.5299275892494969, 0.22073430480472925]","[0.7804067781825154, 0.21633870932167354]",0.8206889227985177,7164,0.7164283571642835,0.35132621736576825,7691,0.7691230876912308,2,2.517974796932014,,10000,42,[],[],
320_480nm,12Oclock,dad,2,2,2,"[0.5299275892494969, 0.22073430480472925]","[0.8918025003080094, 0.10736489695028076]","[0.5299275892494969, 0.22073430480472925]","[0.8918025003080094, 0.10736489695028076]",0.9194946778271191,8499,0.8499150084991501,0.13269063985677096,8745,0.8745125487451255,2,1.3602325768393355,,10000,42,[],[],
320_480nm,12Oclock,latent,2,2,2,"[0.5299275892494969, 0.22073430480472925]","[0.8399910299774545, 0.15857780112133193]","[0.5299275892494969, 0.22073430480472925]","[0.8399910299774545, 0.15857780112133193]",0.8667621770476254,7920,0.792020797920208,0.22580329434945823,8586,0.8586141385861414,2,2.100437453724917,,10000,42,[],[],
320_480nm,6Oclock,chrom,2,2,2,"[0.5414350374958822, 0.347937690740806]","[0.7804067781825154, 0.21633870932167354]","[0.5414350374958822, 0.347937690740806]","[0.7804067781825154, 0.21633870932167354]",0.48416267703048954,931,0.09319068093190681,1.135283948055131,1412,0.14128587141285873,2,4.192141218534693,,10000,42,[],[],
320_480nm,6Oclock,dad,2,2,2,"[0.5414350374958822, 0.347937690740806]","[0.8918025003080094, 0.10736489695028076]","[0.5414350374958822, 0.347937690740806]","[0.8918025003080094, 0.10736489695028076]",0.6750956479066704,3035,0.30356964303569645,0.7249344558773894,3997,0.39976002399760024,2,3.477193929665406,,10000,42,[],[],
320_480nm,6Oclock,latent,2,2,2,"[0.5414350374958822, 0.347937690740806]","[0.8399910299774545, 0.15857780112133193]","[0.5414350374958822, 0.347937690740806]","[0.8399910299774545, 0.15857780112133193]",0.576553926704798,1666,0.16668333166683333,0.9274932153400925,2557,0.25577442255774424,2,4.003692785657649,,10000,42,[],[],
