window,kind,modality,metric,statistic,permutations,permutation_exceedances,permutation_p,kernel_bandwidth_x,kernel_bandwidth_y,seed,reflectance_features,concentration_features,dropped_reflectance_columns,dropped_concentration_columns,warning
320_480nm,Sigma,chrom,dCor,0.7451038912928127,10000,2300,0.23007699230076992,,,42,"['mean_reflectance', 'median_reflectance', 'min_reflectance', 'max_reflectance', 'range_reflectance', 'area_reflectance', 'mean_std', 'median_std', 'mean_mad', 'median_mad']","['chrom_total_mean', 'chrom_oxidized_mean', 'chrom_reduced_mean']",[],[],
320_480nm,Sigma,chrom,HSIC,0.032566254981648134,10000,2412,0.24127587241275872,4.953401151105494,2.3962549114423255,42,"['mean_reflectance', 'median_reflectance', 'min_reflectance', 'max_reflectance', 'range_reflectance', 'area_reflectance', 'mean_std', 'median_std', 'mean_mad', 'median_mad']","['chrom_total_mean', 'chrom_oxidized_mean', 'chrom_reduced_mean']",[],[],
320_480nm,Sigma,dad,dCor,0.6088256847417398,10000,4634,0.4634536546345365,,,42,"['mean_reflectance', 'median_reflectance', 'min_reflectance', 'max_reflectance', 'range_reflectance', 'area_reflectance', 'mean_std', 'median_std', 'mean_mad', 'median_mad']","['dad_total_mean', 'dad_oxidized_mean', 'dad_reduced_mean']",[],[],
320_480nm,Sigma,dad,HSIC,0.03219242710517133,10000,7280,0.728027197280272,4.953401151105494,1.62553343842525,42,"['mean_reflectance', 'median_reflectance', 'min_reflectance', 'max_reflectance', 'range_reflectance', 'area_reflectance', 'mean_std', 'median_std', 'mean_mad', 'median_mad']","['dad_total_mean', 'dad_oxidized_mean', 'dad_reduced_mean']",[],[],
320_480nm,Sigma,latent,dCor,0.6868229599491834,10000,3395,0.33956604339566043,,,42,"['mean_reflectance', 'median_reflectance', 'min_reflectance', 'max_reflectance', 'range_reflectance', 'area_reflectance', 'mean_std', 'median_std', 'mean_mad', 'median_mad']","['latent_total_mean', 'latent_oxidized_mean', 'latent_reduced_mean']",[],[],
320_480nm,Sigma,latent,HSIC,0.031993001973448114,10000,4183,0.4183581641835816,4.953401151105494,2.134185345915598,42,"['mean_reflectance', 'median_reflectance', 'min_reflectance', 'max_reflectance', 'range_reflectance', 'area_reflectance', 'mean_std', 'median_std', 'mean_mad', 'median_mad']","['latent_total_mean', 'latent_oxidized_mean', 'latent_reduced_mean']",[],[],
320_480nm,Delta,chrom,dCor,0.6933106229689188,10000,2996,0.2996700329967003,,,42,"['mean_reflectance', 'median_reflectance', 'min_reflectance', 'max_reflectance', 'range_reflectance', 'area_reflectance', 'mean_std', 'median_std', 'mean_mad', 'median_mad']","['chrom_total_mean', 'chrom_oxidized_mean', 'chrom_reduced_mean']",[],[],
320_480nm,Delta,chrom,HSIC,0.04173792783291381,10000,2788,0.27887211278872115,3.8041584729313502,2.3962549114423255,42,"['mean_reflectance', 'median_reflectance', 'min_reflectance', 'max_reflectance', 'range_reflectance', 'area_reflectance', 'mean_std', 'median_std', 'mean_mad', 'median_mad']","['chrom_total_mean', 'chrom_oxidized_mean', 'chrom_reduced_mean']",[],[],
320_480nm,Delta,dad,dCor,0.5712768073072175,10000,4222,0.42225777422257776,,,42,"['mean_reflectance', 'median_reflectance', 'min_reflectance', 'max_reflectance', 'range_reflectance', 'area_reflectance', 'mean_std', 'median_std', 'mean_mad', 'median_mad']","['dad_total_mean', 'dad_oxidized_mean', 'dad_reduced_mean']",[],[],
320_480nm,Delta,dad,HSIC,0.04765872319258818,10000,4324,0.43245675432456754,3.8041584729313502,1.62553343842525,42,"['mean_reflectance', 'median_reflectance', 'min_reflectance', 'max_reflectance', 'range_reflectance', 'area_reflectance', 'mean_std', 'median_std', 'mean_mad', 'median_mad']","['dad_total_mean', 'dad_oxidized_mean', 'dad_reduced_mean']",[],[],
