PC1,PC2,feature,matrix,kind,modality,window
0.4051910058529587,0.15746074524761033,mean_reflectance,reflectance,Sigma,chrom,320_480nm
0.4078872240887557,0.14338370356371805,median_reflectance,reflectance,Sigma,chrom,320_480nm
0.3782212715749911,0.22889496385681035,min_reflectance,reflectance,Sigma,chrom,320_480nm
0.40706657591644296,0.13334278938518146,max_reflectance,reflectance,Sigma,chrom,320_480nm
0.21362001637832181,-0.19226075806997503,range_reflectance,reflectance,Sigma,chrom,320_480nm
0.4052110716501005,0.15735766669977835,area_reflectance,reflectance,Sigma,chrom,320_480nm
-0.10104138128611095,0.5199791769065166,mean_std,reflectance,Sigma,chrom,320_480nm
-0.08295086384752283,0.5261317831664645,median_std,reflectance,Sigma,chrom,320_480nm
-0.249595720804009,0.4136581284685963,mean_mad,reflectance,Sigma,chrom,320_480nm
-0.26734991925690105,0.32317540750048496,median_mad,reflectance,Sigma,chrom,320_480nm
0.6516196359666339,-0.020962525834356396,chrom_total_mean,chrom,Sigma,chrom,320_480nm
0.5275243649950555,0.730831405594068,chrom_oxidized_mean,chrom,Sigma,chrom,320_480nm
0.5450778791689083,-0.6822360508709888,chrom_reduced_mean,chrom,Sigma,chrom,320_480nm
0.4051910058529587,0.15746074524761033,mean_reflectance,reflectance,Sigma,dad,320_480nm
0.4078872240887557,0.14338370356371805,median_reflectance,reflectance,Sigma,dad,320_480nm
0.3782212715749911,0.22889496385681035,min_reflectance,reflectance,Sigma,dad,320_480nm
0.40706657591644296,0.13334278938518146,max_reflectance,reflectance,Sigma,dad,320_480nm
0.21362001637832181,-0.19226075806997503,range_reflectance,reflectance,Sigma,dad,320_480nm
0.4052110716501005,0.15735766669977835,area_reflectance,reflectance,Sigma,dad,320_480nm
-0.10104138128611095,0.5199791769065166,mean_std,reflectance,Sigma,dad,320_480nm
-0.08295086384752283,0.5261317831664645,median_std,reflectance,Sigma,dad,320_480nm
-0.249595720804009,0.4136581284685963,mean_mad,reflectance,Sigma,dad,320_480nm
-0.26734991925690105,0.32317540750048496,median_mad,reflectance,Sigma,dad,320_480nm
0.6108389278419976,-0.023394240119227094,dad_total_mean,dad,Sigma,dad,320_480nm
0.5622300124035887,-0.6909707575658445,dad_oxidized_mean,dad,Sigma,dad,320_480nm
0.5574703735495721,0.7225040634613251,dad_reduced_mean,dad,Sigma,dad,320_480nm
0.4051910058529587,0.15746074524761033,mean_reflectance,reflectance,Sigma,latent,320_480nm
0.4078872240887557,0.14338370356371805,median_reflectance,reflectance,Sigma,latent,320_480nm
0.3782212715749911,0.22889496385681035,min_reflectance,reflectance,Sigma,latent,320_480nm
0.40706657591644296,0.13334278938518146,max_reflectance,reflectance,Sigma,latent,320_480nm
0.21362001637832181,-0.19226075806997503,range_reflectance,reflectance,Sigma,latent,320_480nm
0.4052110716501005,0.15735766669977835,area_reflectance,reflectance,Sigma,latent,320_480nm
-0.10104138128611095,0.5199791769065166,mean_std,reflectance,Sigma,latent,320_480nm
-0.08295086384752283,0.5261317831664645,median_std,reflectance,Sigma,latent,320_480nm
-0.249595720804009,0.4136581284685963,mean_mad,reflectance,Sigma,latent,320_480nm
-0.26734991925690105,0.32317540750048496,median_mad,reflectance,Sigma,latent,320_480nm
0.6291168306961071,-0.008074398778405358,latent_total_mean,latent,Sigma,latent,320_480nm
0.5512540639793279,-0.7003538538660874,latent_oxidized_mean,latent,Sigma,latent,320_480nm
0.5480246073682832,0.7137501547875749,latent_reduced_mean,latent,Sigma,latent,320_480nm
0.3562874097854989,0.11424627532230959,mean_reflectance,reflectance,Delta,chrom,320_480nm
0.35515889651904436,0.11320344960322876,median_reflectance,reflectance,Delta,chrom,320_480nm
0.3552080309944496,0.1906146394490698,min_reflectance,reflectance,Delta,chrom,320_480nm
0.3496599349713918,0.05190197264453337,max_reflectance,reflectance,Delta,chrom,320_480nm
-0.2555682929131005,-0.3878058880961318,range_reflectance,reflectance,Delta,chrom,320_480nm
0.3562811012125775,0.11421840641566962,area_reflectance,reflectance,Delta,chrom,320_480nm
-0.22949179679026593,0.6043587773609048,mean_std,reflectance,Delta,chrom,320_480nm
-0.21545625353263098,0.6249371947736493,median_std,reflectance,Delta,chrom,320_480nm
