comp_1,matrix,window,modality
3.6688562086662846,reflectance,320_480nm,chrom
1.9012665597567664,reflectance,320_480nm,chrom
-0.8813436272939081,reflectance,320_480nm,chrom
-1.495936221658968,reflectance,320_480nm,chrom
-3.1806666360190476,reflectance,320_480nm,chrom
-0.01217628345112706,reflectance,320_480nm,chrom
5.297044167597732,chrom,320_480nm,chrom
0.545922748334223,chrom,320_480nm,chrom
-0.342864222883442,chrom,320_480nm,chrom
-2.9546392152713765,chrom,320_480nm,chrom
-1.5722109845954992,chrom,320_480nm,chrom
-0.9732524931816369,chrom,320_480nm,chrom
-3.786725031992274,reflectance,320_480nm,dad
-1.3912004021743296,reflectance,320_480nm,dad
1.3854166362226965,reflectance,320_480nm,dad
1.5864278782309806,reflectance,320_480nm,dad
2.3513082984130027,reflectance,320_480nm,dad
-0.14522737870007632,reflectance,320_480nm,dad
-5.327943747856048,dad,320_480nm,dad
0.11402459616607939,dad,320_480nm,dad
0.6624555056975274,dad,320_480nm,dad
2.6468351533421,dad,320_480nm,dad
0.5622137780512313,dad,320_480nm,dad
1.3424147145991092,dad,320_480nm,dad
3.735955624706128,reflectance,320_480nm,latent
1.698634271489625,reflectance,320_480nm,latent
-1.0744655027893124,reflectance,320_480nm,latent
-1.5403629012873452,reflectance,320_480nm,latent
-2.843270957762524,reflectance,320_480nm,latent
0.023509465643428012,reflectance,320_480nm,latent
5.364383999885752,latent,320_480nm,latent
0.24560735194439767,latent,320_480nm,latent
-0.4641137514440117,latent,320_480nm,latent
-2.8638334460190302,latent,320_480nm,latent
-1.0953033569740434,latent,320_480nm,latent
-1.186740797393064,latent,320_480nm,latent
