window,kind,modality,statistic,permutation_p
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699
320_480nm,Sigma,dad,0.6088256847417398,0.4634536546345365
320_480nm,Sigma,latent,0.6868229599491834,0.3395660433956604
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777
320_480nm,Delta,latent,0.6475840198139853,0.3317668233176682
320_480nm,12Oclock,chrom,0.6266651739895731,0.9133086691330868
320_480nm,12Oclock,dad,0.5084312380567101,0.9616038396160383
320_480nm,12Oclock,latent,0.5755027985076775,0.9433056694330568
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385
320_480nm,6Oclock,latent,0.686618222680795,0.3351664833516648
