target,kind,band_label,n_samples,rmse,mae,r2,rmse_loocv,mae_loocv,coefficients,intercept,features
chrom_total,12Oclock,360_410nm,6,5.223794881994702e-12,4.872380277021193e-12,1.0,1.7473622791942651,1.4483732114451942,"[-112761.17592463603, 2147.5339998107816, 357.1400685707222, 469.23733244287473, 112.09726738026819, 2195.4465861821245]",-0.7520533820888692,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
chrom_total,6Oclock,360_410nm,6,6.590145141594661e-13,4.65053921298401e-13,1.0,3.2237663725435652,1.8542210470518787,"[39216.16713730289, -468.35606992254907, -497.8665316287602, -520.8332193780315, -22.966688057494117, -754.667108325808]",2.094437375546524,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
chrom_total,Sigma,360_410nm,6,1.6901300285267855e-12,1.259307473115238e-12,1.0,0.09855083844843399,0.08781765355662524,"[84099.4563062818, -759.3726147822495, -546.5980492241725, -553.092502067825, -6.494452962519165, -1644.8530190570377]",1.3371850388071618,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
chrom_total,Delta,360_410nm,6,1.3421167227679966e-12,1.2513878822062452e-12,1.0,11.06608631240086,5.579065083095855,"[-151323.24347891673, -8095.225939491136, -603.0340940002967, -443.77006580665125, 159.26403251017288, 3209.2920005194574]",0.47503080719563107,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
dad_total,12Oclock,360_410nm,6,7.268233166731872e-12,6.064204693956299e-12,1.0,3.264289869954856,2.705684614189614,"[-210632.83433788948, 3761.364188385198, 736.894989968599, 938.1665747533312, 201.2715913378804, 4103.386927713101]",-1.2198521243599194,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
dad_total,6Oclock,360_410nm,6,8.352262552906406e-13,8.052632634777032e-13,1.0,1.9030542036788867,1.0882451808919353,"[22664.330038441276, -826.7643540166403, -786.6617259039407, -810.3934195136691, -23.731693787556534, -405.024249909904]",3.328999170900234,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
dad_total,Sigma,360_410nm,6,2.826285840633198e-12,1.9279577934128156e-12,1.0,0.16164581560216673,0.14404094494764794,"[137942.4383966532, -1219.4912671586599, -877.2026411347731, -872.2035269918705, 4.9991139479351485, -2699.6057103861813]",2.354876490566854,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
dad_total,Delta,360_410nm,6,3.162582820151218e-12,3.0158098240917752e-12,1.0,20.76226230370879,10.502057485091214,"[-289061.51226884004, -14439.774455027215, -821.6569848497736, -545.7517477791788, 275.90524531425024, 6097.347402195289]",1.0935937486457303,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
latent_total,12Oclock,360_410nm,6,4.71166304863219e-12,3.5618267594609656e-12,1.0,1.6397245791729544,1.3591515546909163,"[-105814.34110953509, 2006.648334216031, 351.41209559016266, 456.91968826457145, 105.50759596641066, 2059.7054114572966]",-0.6583412036773914,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
latent_total,6Oclock,360_410nm,6,1.3402477040711953e-12,1.1053843026094985e-12,1.0,2.0483559785151657,1.1764948559948152,"[24790.059391009883, -442.60700279293656, -444.0982915463154, -461.6897533936966, -17.591462042141213, -468.9247188486309]",1.8510132271958533,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
latent_total,Sigma,360_410nm,6,2.669170000325447e-12,2.3216706335205117e-12,1.0,0.08087040250124299,0.07206279620957305,"[69011.5264761751, -646.6530189237594, -469.556685701698, -468.8598563812536, 0.6968292229022621, -1348.587664478141]",1.1551585646320228,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
latent_total,Delta,360_410nm,6,1.7259888101469183e-12,1.5442369605267459e-12,1.0,10.45573759506209,5.276123041848492,"[-143686.57168149523, -7552.708658859419, -513.4334438094486, -366.2127640299881, 147.22068387789488, 3042.367413076705]",0.5063759294003671,"['band_mean', 'band_median', 'band_min', 'band_max', 'band_range', 'band_area']"
