window,kind,modality,dcor_permutation_p,rv_permutation_p,procrustes_permutation_p,baseline_rmse_loocv,baseline_mae_loocv,multiblock_joint_components,feature_set,model_type,band_label,band_lower_nm,band_upper_nm,component,pearson_perm_p,spearman_perm_p,kendall_perm_p
320_480nm,12Oclock,chrom,0.9133086691330868,0.7691230876912308,0.7164283571642835,0.3029800421883891,0.2210670735505686,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,12Oclock,chrom,0.9133086691330868,0.7691230876912308,0.7164283571642835,0.1806608087136982,0.1626920871358852,1,phase9,ridge,320_480nm,320.0,480.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,12Oclock,chrom,0.9133086691330868,0.7691230876912308,0.7164283571642835,0.5589624339306488,0.4027199718637472,1,phase9,ridge,320_480nm,320.0,480.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,12Oclock,chrom,0.9133086691330868,0.7691230876912308,0.7164283571642835,0.3486812491307092,0.2884757252273468,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,12Oclock,chrom,0.9133086691330868,0.7691230876912308,0.7164283571642835,0.2231273894117203,0.2131099502746482,1,phase9,ridge,360_410nm,360.0,410.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,12Oclock,chrom,0.9133086691330868,0.7691230876912308,0.7164283571642835,0.6058458660143509,0.4934547554777082,1,phase9,ridge,360_410nm,360.0,410.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,12Oclock,chrom,0.9133086691330868,0.7691230876912308,0.7164283571642835,0.6605361613972354,0.5917693148605533,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,12Oclock,chrom,0.9133086691330868,0.7691230876912308,0.7164283571642835,0.3722621720397087,0.3406561964571799,1,phase9,ridge,peak_band_auto,300.0,600.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,12Oclock,chrom,0.9133086691330868,0.7691230876912308,0.7164283571642835,0.9813121066403204,0.8169987479595574,1,phase9,ridge,peak_band_auto,300.0,600.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,6Oclock,chrom,0.1381861813818618,0.1412858714128587,0.0931906809319068,1.0638375865322496,0.7173996101414436,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,6Oclock,chrom,0.1381861813818618,0.1412858714128587,0.0931906809319068,0.5780978606328051,0.394359189468975,1,phase9,ridge,320_480nm,320.0,480.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,6Oclock,chrom,0.1381861813818618,0.1412858714128587,0.0931906809319068,1.4173949800698178,0.992555959717762,1,phase9,ridge,320_480nm,320.0,480.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,6Oclock,chrom,0.1381861813818618,0.1412858714128587,0.0931906809319068,0.327269840044819,0.2938015202976479,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,6Oclock,chrom,0.1381861813818618,0.1412858714128587,0.0931906809319068,0.1998401812827553,0.1527497259007045,1,phase9,ridge,360_410nm,360.0,410.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,6Oclock,chrom,0.1381861813818618,0.1412858714128587,0.0931906809319068,0.4999318028593595,0.4128162356664825,1,phase9,ridge,360_410nm,360.0,410.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,6Oclock,chrom,0.1381861813818618,0.1412858714128587,0.0931906809319068,0.367014915186688,0.2955387561929086,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,6Oclock,chrom,0.1381861813818618,0.1412858714128587,0.0931906809319068,0.2706795697275727,0.2384931490088354,1,phase9,ridge,peak_band_auto,300.0,600.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,6Oclock,chrom,0.1381861813818618,0.1412858714128587,0.0931906809319068,0.5029040373434684,0.4009151605393646,1,phase9,ridge,peak_band_auto,300.0,600.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,Delta,chrom,0.2996700329967003,0.2977702229777022,0.4408559144085591,0.6037862629844786,0.4289146143765398,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,Delta,chrom,0.2996700329967003,0.2977702229777022,0.4408559144085591,0.5789741648438816,0.4206936098925801,1,phase9,ridge,320_480nm,320.0,480.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,Delta,chrom,0.2996700329967003,0.2977702229777022,0.4408559144085591,0.4401064737242435,0.38256401524165,1,phase9,ridge,320_480nm,320.0,480.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,Delta,chrom,0.2996700329967003,0.2977702229777022,0.4408559144085591,0.5740522466043384,0.4321258226778863,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,Delta,chrom,0.2996700329967003,0.2977702229777022,0.4408559144085591,0.2964587028744653,0.2674379481394665,1,phase9,ridge,360_410nm,360.0,410.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,Delta,chrom,0.2996700329967003,0.2977702229777022,0.4408559144085591,1.1482115692905597,0.8818564424355025,1,phase9,ridge,360_410nm,360.0,410.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,Delta,chrom,0.2996700329967003,0.2977702229777022,0.4408559144085591,0.4473304033269744,0.3881316324255922,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,Delta,chrom,0.2996700329967003,0.2977702229777022,0.4408559144085591,0.4201292041993723,0.3801893936552376,1,phase9,ridge,peak_band_auto,300.0,600.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,Delta,chrom,0.2996700329967003,0.2977702229777022,0.4408559144085591,0.7261781115710074,0.6119570975857943,1,phase9,ridge,peak_band_auto,300.0,600.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,Sigma,chrom,0.2300769923007699,0.1444855514448555,0.0953904609539046,0.5679717216598709,0.4668487786940781,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,Sigma,chrom,0.2300769923007699,0.1444855514448555,0.0953904609539046,0.3237081295994741,0.2946199081925394,1,phase9,ridge,320_480nm,320.0,480.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,Sigma,chrom,0.2300769923007699,0.1444855514448555,0.0953904609539046,0.7990933351881929,0.6725761373577558,1,phase9,ridge,320_480nm,320.0,480.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,Sigma,chrom,0.2300769923007699,0.1444855514448555,0.0953904609539046,0.3258850294864286,0.2743881018840075,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,Sigma,chrom,0.2300769923007699,0.1444855514448555,0.0953904609539046,0.2139205764292079,0.2022936821672161,1,phase9,ridge,360_410nm,360.0,410.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,Sigma,chrom,0.2300769923007699,0.1444855514448555,0.0953904609539046,0.5223069751329745,0.3855908131303233,1,phase9,ridge,360_410nm,360.0,410.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,Sigma,chrom,0.2300769923007699,0.1444855514448555,0.0953904609539046,0.3162586848476353,0.2959287503155081,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9564043596,0.5376462354,0.5247475252
320_480nm,Sigma,chrom,0.2300769923007699,0.1444855514448555,0.0953904609539046,0.074789604846125,0.0521511691877841,1,phase9,ridge,peak_band_auto,300.0,600.0,oxidized,0.9564043596,0.5376462354,0.5247475252
320_480nm,Sigma,chrom,0.2300769923007699,0.1444855514448555,0.0953904609539046,0.7415580433918569,0.6440011209261374,1,phase9,ridge,peak_band_auto,300.0,600.0,reduced,0.9564043596,0.5376462354,0.5247475252
320_480nm,12Oclock,dad,0.9616038396160383,0.8745125487451255,0.8499150084991501,0.5982533912003029,0.4407955219212948,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,12Oclock,dad,0.9616038396160383,0.8745125487451255,0.8499150084991501,0.4361012894347874,0.3937467381515207,1,phase9,ridge,320_480nm,320.0,480.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,12Oclock,dad,0.9616038396160383,0.8745125487451255,0.8499150084991501,0.6432201876797926,0.4903585674579262,1,phase9,ridge,320_480nm,320.0,480.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,12Oclock,dad,0.9616038396160383,0.8745125487451255,0.8499150084991501,0.6036317085732199,0.4864382118890415,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,12Oclock,dad,0.9616038396160383,0.8745125487451255,0.8499150084991501,0.4216229901790111,0.3595570177319351,1,phase9,ridge,360_410nm,360.0,410.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,12Oclock,dad,0.9616038396160383,0.8745125487451255,0.8499150084991501,0.6118238865657327,0.4932302864985008,1,phase9,ridge,360_410nm,360.0,410.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,12Oclock,dad,0.9616038396160383,0.8745125487451255,0.8499150084991501,1.2189994355355225,1.0523108943594908,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,12Oclock,dad,0.9616038396160383,0.8745125487451255,0.8499150084991501,0.7763499922297527,0.7022378026112758,1,phase9,ridge,peak_band_auto,300.0,600.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,12Oclock,dad,0.9616038396160383,0.8745125487451255,0.8499150084991501,1.158704236739251,0.9086978480062504,1,phase9,ridge,peak_band_auto,300.0,600.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,6Oclock,dad,0.5615438456154385,0.3997600239976002,0.3035696430356964,1.9049601541620296,1.2777682239828172,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,6Oclock,dad,0.5615438456154385,0.3997600239976002,0.3035696430356964,1.414206131252845,0.9582079886232884,1,phase9,ridge,320_480nm,320.0,480.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,6Oclock,dad,0.5615438456154385,0.3997600239976002,0.3035696430356964,1.601297185083108,1.069690410360655,1,phase9,ridge,320_480nm,320.0,480.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,6Oclock,dad,0.5615438456154385,0.3997600239976002,0.3035696430356964,0.595318897103383,0.5388543529208621,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,6Oclock,dad,0.5615438456154385,0.3997600239976002,0.3035696430356964,0.4690385687094874,0.3582539530245568,1,phase9,ridge,360_410nm,360.0,410.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,6Oclock,dad,0.5615438456154385,0.3997600239976002,0.3035696430356964,0.5440890715328708,0.4857688851441786,1,phase9,ridge,360_410nm,360.0,410.0,reduced,0.9002099790000001,0.9540045995,0.900009999
