target,kind,band_label,role,subset_name,feature_count,features,alpha,rmse_loocv_subset,mae_loocv_subset,rmse_loocv_catalogue,rmse_in_sample_catalogue,delta_rmse_loocv
chrom_oxidized,Sigma,peak_band_auto,reporting,auc+continuum_depth,2,"auc,continuum_depth",0.1,0.2507738347523587,0.22868021230490032,0.07478960484612507,0.03659961174673222,0.17598422990623364
chrom_oxidized,Sigma,peak_band_auto,reporting,auc_fwhm,2,"auc,fwhm_nm",0.1,0.08703750482323541,0.07229139286204346,0.07478960484612507,0.03659961174673222,0.012247899977110344
chrom_oxidized,Sigma,peak_band_auto,reporting,auc_only,1,auc,0.1,0.25061446518931557,0.22853556587747956,0.07478960484612507,0.03659961174673222,0.1758248603431905
chrom_oxidized,Sigma,peak_band_auto,reporting,continuum_depth+fwhm_nm,2,"continuum_depth,fwhm_nm",0.1,0.0747950642221778,0.058882715417882446,0.07478960484612507,0.03659961174673222,5.459376052729947e-06
chrom_oxidized,Sigma,peak_band_auto,reporting,drop_fixed_terms,6,"peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature",0.1,0.07965679756151256,0.0644310387287908,0.07478960484612507,0.03659961174673222,0.004867192715387492
chrom_oxidized,Sigma,peak_band_auto,reporting,full,8,"peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature,fixed_peak_reflectance,fixed_continuum_depth",0.1,0.07965679756151256,0.0644310387287908,0.07478960484612507,0.03659961174673222,0.004867192715387492
chrom_oxidized,Sigma,peak_band_auto,reporting,fwhm_only,1,fwhm_nm,0.1,0.07476026816349082,0.058900888268237216,0.07478960484612507,0.03659961174673222,-2.9336682634245603e-05
chrom_oxidized,Sigma,peak_band_auto,reporting,peak_auc,2,"peak_reflectance,auc",0.1,0.25089809792918943,0.2289740741483459,0.07478960484612507,0.03659961174673222,0.17610849308306437
chrom_oxidized,Sigma,peak_band_auto,reporting,peak_only,1,peak_reflectance,0.1,0.21886979723029018,0.19546003011273663,0.07478960484612507,0.03659961174673222,0.1440801923841651
chrom_oxidized,Sigma,peak_band_auto,reporting,peak_reflectance+continuum_depth,2,"peak_reflectance,continuum_depth",0.1,0.2190135910119587,0.1955563907308472,0.07478960484612507,0.03659961174673222,0.14422398616583362
chrom_oxidized,Sigma,peak_band_auto,reporting,peak_reflectance+fwhm_nm,2,"peak_reflectance,fwhm_nm",0.1,0.07624477358319855,0.06026633520209899,0.07478960484612507,0.03659961174673222,0.0014551687370734784
chrom_oxidized,Sigma,peak_band_auto,reporting,peak_reflectance+peak_wavelength_nm,2,"peak_reflectance,peak_wavelength_nm",0.1,0.12087988254811201,0.09672044237260437,0.07478960484612507,0.03659961174673222,0.04609027770198694
chrom_oxidized,Sigma,peak_band_auto,reporting,peak_wavelength_nm+auc,2,"peak_wavelength_nm,auc",0.1,0.1364252566108421,0.11392034675320119,0.07478960484612507,0.03659961174673222,0.061635651764717025
chrom_oxidized,Sigma,peak_band_auto,reporting,peak_wavelength_nm+continuum_depth,2,"peak_wavelength_nm,continuum_depth",0.1,0.12346745794302234,0.09704402486499632,0.07478960484612507,0.03659961174673222,0.048677853096897275
chrom_oxidized,Sigma,peak_band_auto,reporting,peak_wavelength_nm+fwhm_nm,2,"peak_wavelength_nm,fwhm_nm",0.1,0.0848581908340962,0.06957621818827305,0.07478960484612507,0.03659961174673222,0.010068585987971126
chrom_total,12Oclock,320_480nm,reporting,auc+continuum_depth,2,"auc,continuum_depth",0.1,0.2762945407522638,0.21305058838275073,0.30298004218838914,0.16587509613106055,-0.02668550143612536
chrom_total,12Oclock,320_480nm,reporting,auc_fwhm,2,"auc,fwhm_nm",0.1,0.30425730452435096,0.22281810313285044,0.30298004218838914,0.16587509613106055,0.0012772623359618152
chrom_total,12Oclock,320_480nm,reporting,auc_only,1,auc,0.1,0.27626788858424356,0.21302819876779774,0.30298004218838914,0.16587509613106055,-0.026712153604145583
chrom_total,12Oclock,320_480nm,reporting,continuum_depth+fwhm_nm,2,"continuum_depth,fwhm_nm",0.1,0.2591834846002912,0.1861173679520559,0.30298004218838914,0.16587509613106055,-0.04379655758809792
chrom_total,12Oclock,320_480nm,reporting,drop_fixed_terms,6,"peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature",0.1,0.30424735409780534,0.22275999231711932,0.30298004218838914,0.16587509613106055,0.0012673119094162022
chrom_total,12Oclock,320_480nm,reporting,full,8,"peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature,fixed_peak_reflectance,fixed_continuum_depth",0.1,0.30424735409780534,0.2227599923171193,0.30298004218838914,0.16587509613106055,0.0012673119094162022
chrom_total,12Oclock,320_480nm,reporting,fwhm_only,1,fwhm_nm,0.1,0.259177542645809,0.18611456424617842,0.30298004218838914,0.16587509613106055,-0.04380249954258014
chrom_total,12Oclock,320_480nm,reporting,peak_auc,2,"peak_reflectance,auc",0.1,0.27622551870542045,0.21295836811630653,0.30298004218838914,0.16587509613106055,-0.026754523482968695
chrom_total,12Oclock,320_480nm,reporting,peak_only,1,peak_reflectance,0.1,0.2654601054643242,0.1979268999926503,0.30298004218838914,0.16587509613106055,-0.03751993672406495
chrom_total,12Oclock,320_480nm,reporting,peak_reflectance+continuum_depth,2,"peak_reflectance,continuum_depth",0.1,0.2654814266942261,0.19794402706397993,0.30298004218838914,0.16587509613106055,-0.03749861549416306
chrom_total,12Oclock,320_480nm,reporting,peak_reflectance+fwhm_nm,2,"peak_reflectance,fwhm_nm",0.1,0.2617090588019604,0.18852766704771204,0.30298004218838914,0.16587509613106055,-0.04127098338642876
chrom_total,12Oclock,320_480nm,reporting,peak_reflectance+peak_wavelength_nm,2,"peak_reflectance,peak_wavelength_nm",0.1,0.26546010546432414,0.19792689999265026,0.30298004218838914,0.16587509613106055,-0.037519936724065006
chrom_total,12Oclock,320_480nm,reporting,peak_wavelength_nm+auc,2,"peak_wavelength_nm,auc",0.1,0.2762678885842436,0.2130281987677977,0.30298004218838914,0.16587509613106055,-0.026712153604145528
chrom_total,12Oclock,320_480nm,reporting,peak_wavelength_nm+continuum_depth,2,"peak_wavelength_nm,continuum_depth",0.1,0.2651228719876584,0.19775399200292723,0.30298004218838914,0.16587509613106055,-0.03785717020073076
chrom_total,12Oclock,320_480nm,reporting,peak_wavelength_nm+fwhm_nm,2,"peak_wavelength_nm,fwhm_nm",0.1,0.25917754264580756,0.18611456424617834,0.30298004218838914,0.16587509613106055,-0.043802499542581586
dad_oxidized,Sigma,peak_band_auto,reporting,auc+continuum_depth,2,"auc,continuum_depth",0.1,0.5329713369145401,0.47195581386442026,0.16612863856923527,0.07477386405913505,0.36684269834530486
dad_oxidized,Sigma,peak_band_auto,reporting,auc_fwhm,2,"auc,fwhm_nm",0.1,0.16345762615744092,0.12596030389358273,0.16612863856923527,0.07477386405913505,-0.002671012411794349
dad_oxidized,Sigma,peak_band_auto,reporting,auc_only,1,auc,0.1,0.5325894797133901,0.47159213037446285,0.16612863856923527,0.07477386405913505,0.36646084114415484
dad_oxidized,Sigma,peak_band_auto,reporting,continuum_depth+fwhm_nm,2,"continuum_depth,fwhm_nm",0.1,0.20687339924557108,0.1856493794452827,0.16612863856923527,0.07477386405913505,0.04074476067633581
dad_oxidized,Sigma,peak_band_auto,reporting,drop_fixed_terms,6,"peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature",0.1,0.2067911129790692,0.17985766439416814,0.16612863856923527,0.07477386405913505,0.04066247440983395
dad_oxidized,Sigma,peak_band_auto,reporting,full,8,"peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature,fixed_peak_reflectance,fixed_continuum_depth",0.1,0.20679111297906727,0.17985766439416664,0.16612863856923527,0.07477386405913505,0.040662474409832006
dad_oxidized,Sigma,peak_band_auto,reporting,fwhm_only,1,fwhm_nm,0.1,0.20702395867507647,0.18578439188396234,0.16612863856923527,0.07477386405913505,0.04089532010584121
