dose_id,kind,source,band_label,band_lower_nm,band_upper_nm,actual_band_lower_nm,actual_band_upper_nm,uva_mw_cm2,uvb_mw_cm2,trim_fraction,samples_total,samples_used,peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature,fixed_peak_wavelength_nm,fixed_peak_reflectance,fixed_continuum_depth,samples_12,samples_6
dose_1,12Oclock,angle,320_480nm,320.0,480.0,320.0,480.0,0.0,0.0,0.2,5.0,3.0,0.2204218904177347,469.5,27.453244504829236,0.01592608305315177,61.0,0.018003563086191915,,,,,
dose_2,12Oclock,angle,320_480nm,320.0,480.0,320.0,480.0,0.647,0.246,0.2,5.0,3.0,0.1714472969373067,469.5,19.097512453794465,0.01979323119545978,67.5,0.02022168040275582,,,,,
dose_3,12Oclock,angle,320_480nm,320.0,480.0,320.0,480.0,1.095,0.338,0.2,5.0,3.0,0.1919181396563848,469.5,21.5002300950388,0.021156973205506774,56.0,0.019288194676240322,,,,,
dose_4,12Oclock,angle,320_480nm,320.0,480.0,320.0,480.0,1.692,0.584,0.2,5.0,3.0,0.2037486284971236,469.5,23.628650709986672,0.013306925290574617,44.0,0.015257005890210423,,,,,
dose_5,12Oclock,angle,320_480nm,320.0,480.0,320.0,480.0,2.488,0.768,0.2,5.0,3.0,0.2699529429276784,469.5,34.624609207113565,0.017146452174832516,52.5,0.014381512999534801,,,,,
dose_6,12Oclock,angle,320_480nm,320.0,480.0,320.0,480.0,3.185,0.707,0.2,5.0,3.0,0.2745656768480937,469.5,33.94901380936304,0.018753106395403563,56.5,0.01655160884062437,,,,,
dose_1,6Oclock,angle,320_480nm,320.0,480.0,320.0,480.0,0.0,0.0,0.2,5.0,3.0,0.2494212239980697,469.5,31.466029084598013,0.024480563976491454,60.5,0.0186387648185094,,,,,
dose_2,6Oclock,angle,320_480nm,320.0,480.0,320.0,480.0,0.647,0.246,0.2,5.0,3.0,0.273032675186793,480.0,30.867100090409306,0.03331988250526291,85.0,0.017517715692520197,,,,,
dose_3,6Oclock,angle,320_480nm,320.0,480.0,320.0,480.0,1.095,0.338,0.2,5.0,3.0,0.2087776263554891,469.5,23.402904170254853,0.028573096885035454,60.0,0.018095264832178715,,,,,
dose_4,6Oclock,angle,320_480nm,320.0,480.0,320.0,480.0,1.692,0.584,0.2,5.0,3.0,0.2190996905167896,469.5,25.897803159430612,0.01860320146661254,56.5,0.0161097248395283,,,,,
