target,modality,kind,band_label,component,band_lower_nm,band_upper_nm,model_type,estimator,n_samples,rmse,mae,r2,rmse_loocv,mae_loocv,coefficients,intercept,feature_columns
chrom_total,chrom,12Oclock,320_480nm,total,320.0,480.0,ridge,ridge,6,0.16587509613106055,0.11492353960005869,0.43623406753548244,0.30298004218838914,0.22106707355056868,"[0.0026734304056046008, 3.8446624075547484e-13, -0.0042333088820377795, 0.0010689177690065368, -0.02079578701808242, -2.8306496292165926e-05, 0.0, 0.0]",2.0013932864933177,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,12Oclock,320_480nm,oxidized,320.0,480.0,ridge,ridge,6,0.10566219402268584,0.08811617282373857,0.657079115201771,0.1806608087136982,0.1626920871358852,"[0.0023591275946629464, 7.502339668601025e-13, -0.01598532258456944, 0.0009937623683991363, -0.019347748147215432, 0.0002569024600774428, 0.0, 0.0]",1.871629492482647,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,12Oclock,320_480nm,reduced,320.0,480.0,ridge,ridge,6,0.27469782442839147,0.20157912435278902,0.27390795058851614,0.5589624339306488,0.40271997186374725,"[0.0016454741135954092, 3.170173723122409e-13, 0.01226678874252064, 0.0010825832919416738, -0.018398588667207276, -0.00048370780299693115, 0.0, 0.0]",2.0371097985933533,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_total,dad,12Oclock,320_480nm,total,320.0,480.0,ridge,ridge,6,0.3329310292184674,0.2307900053412639,0.34364997583134294,0.5982533912003029,0.44079552192129484,"[0.005657310756632802, 1.6263423619558002e-12, -0.01579944597161255, 0.002238693173325166, -0.03435488027640755, 1.7885496125589205e-05, 0.0, 0.0]",3.734244012538069,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,12Oclock,320_480nm,oxidized,320.0,480.0,ridge,ridge,6,0.26411387862402835,0.21413895304589406,0.4536830833017066,0.4361012894347874,0.3937467381515207,"[0.005877082719428142, 1.4167491245766587e-12, -0.01883007473028599, 0.002261780155859701, -0.03392597327002845, 0.000465586495874166, 0.0, 0.0]",2.933169048139426,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,12Oclock,320_480nm,reduced,320.0,480.0,ridge,ridge,6,0.3248391382970923,0.2457536029574643,0.1443712516569251,0.6432201876797926,0.4903585674579262,"[0.0033704820959001743, 2.1535602991266077e-12, -8.653133970845761e-05, 0.001563352054273937, -0.018416446077703846, -0.00038854967297942145, 0.0, 0.0]",2.825563300951201,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,12Oclock,320_480nm,total,320.0,480.0,ridge,ridge,6,0.1647928440480728,0.11314713272953171,0.38302675020571,0.29906795116163537,0.21601573043176595,"[0.002747217628325284, 1.5879728100997564e-13, -0.005507521410777103, 0.0010695750410379548, -0.018610839294436746, -9.427164132199966e-06, 0.0, 0.0]",1.9061426093047587,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,12Oclock,360_410nm,total,360.0,410.0,ridge,ridge,6,0.17366077294051002,0.13830704461737978,0.38206910017470774,0.34868124913070925,0.2884757252273468,"[-1.6035743524584303e-05, 0.07278459914281517, -0.013748913322118424, -0.0005436201582809265, 0.059709412178216334, -0.0004225585884216035, -1.8086449921199404e-05, -0.00020999015062401292]",-30.767937651471104,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,12Oclock,360_410nm,oxidized,360.0,410.0,ridge,ridge,6,0.12305470912962597,0.1083938043505469,0.5348948340264632,0.2231273894117203,0.2131099502746482,"[-0.0005909435292680724, 0.06408281481999294, -0.04409347302795869, -0.00032176141045484047, -0.033096804523222986, -0.00021082696163268692, -0.0005958549290428406, -0.0001426310736285166]",-24.304276780452515,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,12Oclock,360_410nm,reduced,360.0,410.0,ridge,ridge,6,0.2782050957171067,0.21989799858629291,0.25524847279954543,0.6058458660143509,0.49345475547770823,"[0.0008574877106880214, 0.03803747156484841, 0.03832228644526081, -0.000850541253247838, 0.16513969831458303, -0.0007181684136349839, 0.000868651320104466, -0.0002890822323187913]",-19.875454478812202,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
