dose_id,angle,band_label,wavelength_nm,reflectance
dose_1,12Oclock,320_480nm,320.0,0.135025198260943
dose_1,12Oclock,320_480nm,320.5,0.1391737759113311
dose_1,12Oclock,320_480nm,321.0,0.1387820939222971
dose_1,12Oclock,320_480nm,321.5,0.1391329417626063
dose_1,12Oclock,320_480nm,322.0,0.1399058997631072
dose_1,12Oclock,320_480nm,322.5,0.1375850786765416
dose_1,12Oclock,320_480nm,323.0,0.1402151733636855
dose_1,12Oclock,320_480nm,323.5,0.1437724381685256
dose_1,12Oclock,320_480nm,324.0,0.1396209200223286
dose_1,12Oclock,320_480nm,324.5,0.140401467680931
dose_1,12Oclock,320_480nm,325.0,0.1441017140944798
dose_1,12Oclock,320_480nm,325.5,0.1413376380999882
dose_1,12Oclock,320_480nm,326.0,0.1446908513704935
dose_1,12Oclock,320_480nm,326.5,0.144936720530192
dose_1,12Oclock,320_480nm,327.0,0.1433734794457753
dose_1,12Oclock,320_480nm,327.5,0.1440734813610712
dose_1,12Oclock,320_480nm,328.0,0.1441948463519413
dose_1,12Oclock,320_480nm,328.5,0.145248015721639
dose_1,12Oclock,320_480nm,329.0,0.1447291175524393
dose_1,12Oclock,320_480nm,329.5,0.142554963628451
dose_1,12Oclock,320_480nm,330.0,0.1430371105670928
dose_1,12Oclock,320_480nm,330.5,0.14678322772185
dose_1,12Oclock,320_480nm,331.0,0.1449621568123499
dose_1,12Oclock,320_480nm,331.5,0.1424752573172251
dose_1,12Oclock,320_480nm,332.0,0.1472109605868657
dose_1,12Oclock,320_480nm,332.5,0.1450478235880533
dose_1,12Oclock,320_480nm,333.0,0.1434669196605682
dose_1,12Oclock,320_480nm,333.5,0.1476707061131794
dose_1,12Oclock,320_480nm,334.0,0.14442241191864
dose_1,12Oclock,320_480nm,334.5,0.1457802206277847
dose_1,12Oclock,320_480nm,335.0,0.145755464831988
dose_1,12Oclock,320_480nm,335.5,0.1422947645187377
dose_1,12Oclock,320_480nm,336.0,0.1430373142162958
dose_1,12Oclock,320_480nm,336.5,0.1437438229719797
dose_1,12Oclock,320_480nm,337.0,0.1441913545131683
dose_1,12Oclock,320_480nm,337.5,0.1433489422003427
dose_1,12Oclock,320_480nm,338.0,0.143300046523412
dose_1,12Oclock,320_480nm,338.5,0.1440402170022328
