dose_id,angle,band_label,wavelength_nm,continuum_minus_reflectance
dose_3,12Oclock,320_480nm,320.0,0.0
dose_3,12Oclock,320_480nm,320.5,-0.0036298062186689017
dose_3,12Oclock,320_480nm,321.0,-0.003362169023603201
dose_3,12Oclock,320_480nm,321.5,-0.003396364782626504
dose_3,12Oclock,320_480nm,322.0,-0.003935051771501802
dose_3,12Oclock,320_480nm,322.5,-0.0018271484877915023
dose_3,12Oclock,320_480nm,323.0,-0.00370301352813851
dose_3,12Oclock,320_480nm,323.5,-0.00677811408725891
dose_3,12Oclock,320_480nm,324.0,-0.0030753593891860026
dose_3,12Oclock,320_480nm,324.5,-0.003497981233522421
dose_3,12Oclock,320_480nm,325.0,-0.0066882752192518186
dose_3,12Oclock,320_480nm,325.5,-0.004043306767319718
dose_3,12Oclock,320_480nm,326.0,-0.007128147718807126
dose_3,12Oclock,320_480nm,326.5,-0.00747698894701912
dose_3,12Oclock,320_480nm,327.0,-0.005502334330231021
dose_3,12Oclock,320_480nm,327.5,-0.006232863835369626
dose_3,12Oclock,320_480nm,328.0,-0.005992428710063419
dose_3,12Oclock,320_480nm,328.5,-0.006979432034616734
dose_3,12Oclock,320_480nm,329.0,-0.006109470035880846
dose_3,12Oclock,320_480nm,329.5,-0.0037101074897995384
dose_3,12Oclock,320_480nm,330.0,-0.004049950900177235
dose_3,12Oclock,320_480nm,330.5,-0.007327662548050354
dose_3,12Oclock,320_480nm,331.0,-0.005326183357586542
dose_3,12Oclock,320_480nm,331.5,-0.003035115000481453
dose_3,12Oclock,320_480nm,332.0,-0.007398597275217453
dose_3,12Oclock,320_480nm,332.5,-0.004814957035705544
dose_3,12Oclock,320_480nm,333.0,-0.0030034626834095496
dose_3,12Oclock,320_480nm,333.5,-0.006988244364038151
dose_3,12Oclock,320_480nm,334.0,-0.0036620469763875563
dose_3,12Oclock,320_480nm,334.5,-0.004578267301743266
dose_3,12Oclock,320_480nm,335.0,-0.0040947222150862495
dose_3,12Oclock,320_480nm,335.5,-0.0006582711357623616
dose_3,12Oclock,320_480nm,336.0,-0.0013527497649193643
dose_3,12Oclock,320_480nm,336.5,-0.0015692761323105597
dose_3,12Oclock,320_480nm,337.0,-0.001913783606141875
dose_3,12Oclock,320_480nm,337.5,-0.0008073625310014709
dose_3,12Oclock,320_480nm,338.0,-0.0005334171776970736
dose_3,12Oclock,320_480nm,338.5,-0.0007180004225423725
dose_3,12Oclock,320_480nm,339.0,-0.0022831613508363796
dose_3,12Oclock,320_480nm,339.5,-0.0033287088541935766
dose_3,12Oclock,320_480nm,340.0,0.0005865239848692194
dose_3,12Oclock,320_480nm,340.5,-0.0012650943826884864
dose_3,12Oclock,320_480nm,341.0,-0.0012050601653755821
dose_3,12Oclock,320_480nm,341.5,-0.000474312265093188
dose_3,12Oclock,320_480nm,342.0,-0.0025757336989045976
dose_3,12Oclock,320_480nm,342.5,-0.00215216578605279
