treatment,sample_label,sample_id
treatment_1,sample_A,1A
treatment_1,sample_B,1B
treatment_1,sample_C,1C
treatment_1,sample_E,1E
treatment_1,sample_H,1H
treatment_2,sample_A,2A
treatment_2,sample_C,2C
treatment_2,sample_D,2D
treatment_2,sample_F,2F
treatment_2,sample_H,2H
treatment_3,sample_B,3B
treatment_3,sample_F,3F
treatment_3,sample_G,3G
treatment_3,sample_I,3I
treatment_3,sample_J,3J
treatment_4,sample_C,4C
treatment_4,sample_D,4D
treatment_4,sample_E,4E
treatment_4,sample_I,4I
treatment_4,sample_J,4J
treatment_5,sample_A,5A
treatment_5,sample_C,5C
treatment_5,sample_G,5G
treatment_5,sample_H,5H
treatment_5,sample_J,5J
treatment_6,sample_A,6A
treatment_6,sample_B,6B
treatment_6,sample_E,6E
treatment_6,sample_G,6G
treatment_6,sample_I,6I
